m_B_Kr7	m_B_Kr7r	m_B_Kr8_1	m_a6	m_b7	m_b7r	m_c8
-5.797880007	-9.100877296	34.66934028	-9.469624052	-8.973025799	34.87888487	34.65928399
-5.824454232	-9.05790832	34.99932288	-9.500896676	-8.512096853	35.02056094	34.77846956
-5.726963762	-8.851924013	35.0641075	-9.522537187	-8.433814092	35.08833403	34.68373563
-5.69126971	-8.965585208	34.77732791	-9.499323083	-8.51082511	32.70801421	34.91337728
-5.7150638	-9.042147178	34.98120133	-10.1063857	-8.601083444	34.98327159	34.73356524
-6.316122868	-9.355563912	34.66934028	-9.524949323	-9.075491952	34.67877921	34.38534018
-5.774479302	-9.663243969	34.88614263	-9.552840707	-8.428322961	34.69372844	34.88623792
-5.82864703	-11.13040309	35.03664769	-9.500993084	-8.482345926	35.05391982	35.02167234
-5.732692833	-9.006947107	34.8876112	-9.464535114	-8.447972328	35.01630192	34.59399382
-5.836968775	-9.381039023	35.1103954	-9.571324277	-8.519670125	34.66599705	34.67997646
